File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\AbstractTitle.java,562,212,145,48,85,0,265,1593,45,304
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartColor.java,184,71,33,1,33,0,80,491,36,217
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartFactory.java,1455,767,477,78,191,2,497,3120,76,564
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartFrame.java,96,23,17,2,11,0,62,317,38,229
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartMouseEvent.java,104,22,17,3,13,0,69,385,39,250
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartMouseListener.java,65,5,4,0,6,0,54,308,38,238
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartPanel.java,1838,972,685,112,264,10,602,3503,80,627
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartPanelConstants.java,109,23,22,0,24,0,62,414,37,230
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartRenderingInfo.java,193,49,37,5,27,0,117,684,41,255
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ChartUtilities.java,698,233,128,10,88,0,377,2075,53,369
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ClipPath.java,397,157,115,19,54,0,186,869,39,232
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\CrosshairInfo.java,226,69,49,6,31,0,126,707,39,237
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\DateTitle.java,163,34,18,0,17,0,112,713,40,254
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\DefaultShapeFactory.java,94,17,12,4,10,0,67,422,38,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\DrawableLegendItem.java,256,73,54,9,33,0,150,706,39,246
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\Effect3D.java,63,5,4,0,5,0,53,296,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ImageTitle.java,367,158,105,20,53,0,156,943,44,301
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\IntervalMarker.java,135,32,24,4,17,0,86,428,38,235
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\JFreeChart.java,1397,657,425,85,185,7,555,2993,87,683
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\JFreeChartConstants.java,72,13,12,0,11,0,48,280,38,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\Legend.java,281,89,64,15,37,1,155,863,47,306
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\LegendItem.java,138,32,22,4,18,0,88,420,41,251
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\LegendItemCollection.java,110,24,17,3,12,0,74,362,38,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\LegendItemLayout.java,56,4,3,0,5,0,47,262,36,216
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\LegendTitle.java,108,16,11,0,14,0,78,450,35,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\Marker.java,343,126,97,21,48,0,169,729,43,278
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\MarkerLabelPosition.java,112,32,21,8,17,0,63,299,35,208
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\MeterLegend.java,453,233,167,32,59,4,161,848,41,266
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\SeriesShapeFactory.java,173,57,42,15,14,0,102,518,38,226
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ShapeFactory.java,84,8,5,0,7,0,69,392,38,226
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\Spacer.java,290,108,83,19,51,0,131,723,38,232
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\StandardLegend.java,925,469,332,77,122,1,334,1893,54,420
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\StandardLegendItemLayout.java,165,66,53,5,26,2,73,421,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\TextTitle.java,553,245,162,38,82,0,226,1128,53,364
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\CategoryAnnotation.java,69,10,8,0,7,0,52,282,37,220
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\CategoryTextAnnotation.java,238,100,67,13,30,0,108,486,39,242
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\TextAnnotation.java,284,95,75,13,41,0,148,631,41,256
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYAnnotation.java,69,9,7,0,7,0,53,306,39,245
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYDrawableAnnotation.java,164,61,47,8,25,0,78,391,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYLineAnnotation.java,212,82,68,8,34,0,96,483,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYPointerAnnotation.java,424,170,134,16,59,0,195,961,40,249
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYShapeAnnotation.java,121,40,34,0,15,0,66,340,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\XYTextAnnotation.java,167,56,36,3,20,0,91,468,41,251
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\AnnotationsPackageTests.java,80,19,16,1,8,0,53,271,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\CategoryTextAnnotationTests.java,151,67,57,1,21,0,63,298,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\TextAnnotationTests.java,124,45,41,1,19,0,60,282,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\XYDrawableAnnotationTests.java,133,55,45,1,18,0,60,295,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\XYLineAnnotationTests.java,138,60,50,1,18,0,60,295,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\XYPointerAnnotationTests.java,186,90,80,1,27,0,69,328,37,223
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit\XYTextAnnotationTests.java,132,54,44,1,18,0,60,295,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\Axis.java,995,416,298,59,147,0,432,2315,60,438
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\AxisCollection.java,129,41,30,5,16,0,72,456,36,213
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\AxisConstants.java,100,22,21,0,18,0,60,374,42,266
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\AxisLocation.java,137,46,32,14,18,0,73,369,38,229
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\AxisSpace.java,376,179,108,28,34,0,163,693,38,226
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\AxisState.java,169,44,31,3,19,0,106,484,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\CategoryAnchor.java,128,40,29,13,17,0,71,333,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\CategoryAxis.java,1021,518,343,58,128,2,375,2003,48,320
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\CategoryAxis3D.java,134,42,32,5,16,0,76,439,41,261
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\CategoryLabelPosition.java,165,52,38,11,25,0,88,442,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\CategoryTick.java,108,28,19,3,14,0,66,307,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\ColorBar.java,435,207,157,23,62,2,166,819,44,291
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\DateAxis.java,1492,793,574,105,198,1,501,2879,76,596
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\DateTick.java,81,14,10,1,11,0,56,309,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\DateTickMarkPosition.java,110,30,20,8,16,0,64,314,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\DateTickUnit.java,330,113,87,20,49,0,168,864,39,248
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\LogarithmicAxis.java,914,465,318,88,78,60,371,2752,68,512
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\MarkerAxisBand.java,235,105,82,11,31,0,99,502,41,259
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\NumberAxis.java,1208,656,536,73,163,1,389,2441,67,525
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\NumberAxis3D.java,147,43,34,4,17,0,87,575,58,424
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\NumberTick.java,79,13,9,1,10,0,56,303,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\NumberTickUnit.java,90,16,12,1,9,0,65,346,41,257
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\SegmentedTimeline.java,1537,567,397,116,163,1,807,4905,37,220
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\StandardTickUnitSource.java,94,19,15,3,9,0,66,347,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\SymbolicAxis.java,721,405,290,52,73,3,243,1455,51,353
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\SymbolicTickUnit.java,92,22,16,1,9,0,61,356,40,247
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\Tick.java,140,34,26,6,18,0,88,444,41,262
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\TickUnit.java,152,44,30,15,18,0,90,493,40,251
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\TickUnits.java,437,240,221,18,52,0,145,785,47,306
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\TickUnitSource.java,78,6,5,0,7,0,65,343,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\Timeline.java,147,11,10,0,12,0,124,741,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\ValueAxis.java,1431,646,474,88,189,0,596,3352,69,549
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\ValueTick.java,78,13,9,1,9,0,56,304,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\AxisLocationTests.java,125,50,42,1,15,0,60,289,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\AxisPackageTests.java,86,24,21,1,8,0,54,278,37,219
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\AxisSpaceTests.java,90,26,20,1,10,0,54,269,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\AxisTests.java,201,99,92,1,29,0,73,329,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\CategoryAxis3DTests.java,121,49,40,1,15,0,57,281,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\CategoryAxisTests.java,151,66,56,1,21,0,64,305,37,221
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\ColorBarTests.java,121,49,40,1,15,0,57,281,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\DateAxisTests.java,252,131,116,2,36,0,85,369,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\DateTickUnitTests.java,104,36,30,1,14,0,54,274,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\LogarithmicAxisTests.java,104,36,30,1,14,0,54,274,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\MarkerAxisBandTests.java,104,36,30,1,14,0,54,274,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\NumberAxis3DTests.java,104,36,30,1,14,0,54,274,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\NumberAxisTests.java,285,165,123,2,31,0,89,407,37,223
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\SegmentedTimelineTests.java,1152,556,421,29,142,2,454,2251,36,209
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\SymbolicAxisTests.java,105,37,32,1,14,0,54,274,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit\ValueAxisTests.java,209,96,89,1,34,0,79,328,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\AreaChartDemo.java,178,82,65,1,28,7,68,353,39,238
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChart3DDemo1.java,128,49,34,1,17,8,62,324,38,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChart3DDemo2.java,150,66,51,1,19,8,65,338,39,236
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChartDemo.java,205,91,68,2,34,7,80,404,41,253
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChartDemo2.java,134,53,37,0,21,5,60,330,37,221
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChartDemo3.java,183,76,56,1,27,5,80,414,38,233
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\BarChartDemo4.java,176,69,49,2,31,7,76,377,36,214
